"","CustomerID","recency","total.invoices","total.amount","z.total.invoices","z.total.amount","l.total.invoices","l.total.amount"
"1","12747",4,103,4196.01,0.0466536336596174,0.373366229732851,4.63472898822964,8.34188935273546
"2","12748",0,4642,29072.1,20.5196667677596,4.15122503161991,8.44290058683438,10.2775342303659
"3","12749",160,231,3868.2,0.623993506134788,0.323582686826928,5.44241771052179,8.26054456154463
"4","12820",47,59,942.34,-0.151806947503723,-0.120759086903963,4.07753744390572,6.84836614363788
"5","12821",159,6,92.72,-0.390861738450473,-0.249788383520082,1.79175946922805,4.5295841990315
"6","12822",286,47,918.98,-0.20593256054827,-0.124306701565756,3.85014760171006,6.82326435933324
"7","12823",77,5,1759.5,-0.395372206204185,0.00334060474975114,1.6094379124341,7.47278495676164
"8","12824",314,25,397.12,-0.30516285112994,-0.203560048629252,3.2188758248682,5.98423850201624
"9","12826",8,94,1468.12,0.00605942387620698,-0.0409104209417403,4.54329478227,7.29173794970282
"10","12827",329,25,430.15,-0.30516285112994,-0.198543879439226,3.2188758248682,6.06413398506736
"11","12828",243,56,1018.71,-0.165338350764859,-0.109160999073435,4.02535169073515,6.92629239998055
"12","12829",13,12,253.05,-0.363798931928199,-0.225439536828076,2.484906649788,5.53358709766009
"13","12830",202,39,6748.4,-0.242016302577968,0.760990210324195,3.66356164612965,8.81706071873182
"14","12831",111,9,215.05,-0.377330335189336,-0.23121048533613,2.19722457733622,5.37087055922975
"15","12832",275,27,383.03,-0.296141915622515,-0.205699855589212,3.29583686600433,5.94811331509481
"16","12833",228,24,417.38,-0.309673318883652,-0.200483221872064,3.17805383034795,6.03399707782668
"17","12834",91,18,312.38,-0.336736125405926,-0.216429263802212,2.89037175789616,5.74422039542958
"18","12836",62,175,2612.86,0.371407311926901,0.132937884192716,5.16478597392351,7.86820068582271
"19","12837",200,12,134.1,-0.363798931928199,-0.243504124328944,2.484906649788,4.89858579028763
"20","12838",0,123,683.13,0.136862988733863,-0.160124549082189,4.81218435537242,6.52668517820868
"21","12839",6,316,5583.62,1.00738326520033,0.584098489187071,5.75574221358691,8.62759259055066
"22","12840",147,116,2714.27,0.105289714457877,0.148338723355919,4.75359019110636,7.90627831960282
"23","12841",2,439,3876.4,1.56217079890694,0.32482799676814,6.08449941307517,8.26266216686039
"24","12842",65,34,1118.99,-0.264568641346529,-0.0939317696948132,3.52636052461616,7.0201817717215
"25","12843",109,108,1680.76,0.0692059724281788,-0.00861740802720004,4.68213122712422,7.42700135105627
"26","12844",243,52,325.96,-0.183380221779709,-0.214366909045913,3.95124371858143,5.78677467445202
"27","12845",83,27,354.09,-0.296141915622515,-0.210094888479293,3.29583686600433,5.86955111810909
"28","12847",351,91,871.54,-0.00747197938492984,-0.131511275176863,4.51085950651685,6.77026176178402
"29","12849",105,51,1050.89,-0.187890689533421,-0.104273916889509,3.93182563272433,6.95739270317303
